"category","longitude","redirect_url","__CLASS__","created","contract_type","adref","latitude","location","company","id","contract_time","description","salary_is_predicted","title","country","page","salary_max","salary_min"
"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","15.439358","https://www.adzuna.at/land/ad/5723048124?se=UB7oJl1p8RGdcKmg89akZw&utm_medium=api&utm_source=1f9ff16c&v=C826E01423A733AE0D6B3016F056E129B079AE00","Adzuna::API::Response::Job","2026-05-08T16:40:18Z","permanent","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMzA0ODEyNCIsInMiOiJVQjdvSmwxcDhSR2RjS21nODlha1p3In0.txHmTN_VlrpU57mfijCSZKsg8WKY9f4pNEOBrq112fA","47.070503","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Graz, Steiermark', 'area': ['Österreich', 'Steiermark', 'Graz']}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Institut AllergoSan Pharma GmbH'}","5723048124","full_time","Zugriff verweigert Ben je in Nederland? Selecteer het juiste land om vacatures in jouw locatie te bekijken. United Kingdom Australia Österreich België Brasil Canada France Deutschland India Italia México Nederland New Zealand Polska Singapore South Africa España Schweiz United States Doorgaan Unsere Systeme haben verdächtiges Verhalten im Zusammenhang mit dieser Anfrage festgestellt. Wir haben ungewöhnliches Verhalten über Deine Verbindung festgestellt, was durch die Verwendung eines VPNs oder eines Internet-Gateways Deines Unternehmens verursacht werden kann. Melde Dich an um fortzufahren Zurück zur Startseite Kontaktiere uns , wenn Du glaubst, dass dies ein Fehler ist","0","(Junior) Data Analyst","at","1","",""
"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}","9.725813","https://www.adzuna.at/land/ad/5743254004?se=UB7oJl1p8RGdcKmg89akZw&utm_medium=api&utm_source=1f9ff16c&v=B8F25138C1A27F7EF2B137C3540410095CC96C29","Adzuna::API::Response::Job","2026-05-28T10:21:25Z","permanent","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVUI3b0psMXA4UkdkY0ttZzg5YWtadyIsImkiOiI1NzQzMjU0MDA0In0.Bz_hpSNnllTB6dFqaxYWL31NJp3898XRJUfIW00qmfw","47.476349","{'area': ['Österreich', 'Vorarlberg', 'Bregenz', 'Lauterach'], 'display_name': 'Lauterach, Bregenz', '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Gebrüder Weiss GmbH'}","5743254004","full_time","Zugriff verweigert Ben je in Nederland? Selecteer het juiste land om vacatures in jouw locatie te bekijken. United Kingdom Australia Österreich België Brasil Canada France Deutschland India Italia México Nederland New Zealand Polska Singapore South Africa España Schweiz United States Doorgaan Unsere Systeme haben verdächtiges Verhalten im Zusammenhang mit dieser Anfrage festgestellt. Wir haben ungewöhnliches Verhalten über Deine Verbindung festgestellt, was durch die Verwendung eines VPNs oder eines Internet-Gateways Deines Unternehmens verursacht werden kann. Melde Dich an um fortzufahren Zurück zur Startseite Kontaktiere uns , wenn Du glaubst, dass dies ein Fehler ist","0","Supply Chain Data Analyst*in","at","1","",""
"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}","13.554641","https://www.adzuna.at/land/ad/5734927443?se=UB7oJl1p8RGdcKmg89akZw&utm_medium=api&utm_source=1f9ff16c&v=0478ECAE5704139F419FEE0ACF0A512DBE8AA1D8","Adzuna::API::Response::Job","2026-05-20T09:55:20Z","permanent","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVUI3b0psMXA4UkdkY0ttZzg5YWtadyIsImkiOiI1NzM0OTI3NDQzIn0.Bdrsd1x6FuAQpRSULUJL9UZjAmi37IRRUmsAxkiK-dQ","46.774484","{'display_name': 'Spittal an der Drau', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Österreich', 'Kärnten', 'Spittal an der Drau', 'Spittal an der Drau']}","{'display_name': 'STRABAG SE', '__CLASS__': 'Adzuna::API::Response::Company'}","5734927443","full_time","Zugriff verweigert Ben je in Nederland? Selecteer het juiste land om vacatures in jouw locatie te bekijken. United Kingdom Australia Österreich België Brasil Canada France Deutschland India Italia México Nederland New Zealand Polska Singapore South Africa España Schweiz United States Doorgaan Unsere Systeme haben verdächtiges Verhalten im Zusammenhang mit dieser Anfrage festgestellt. Wir haben ungewöhnliches Verhalten über Deine Verbindung festgestellt, was durch die Verwendung eines VPNs oder eines Internet-Gateways Deines Unternehmens verursacht werden kann. Melde Dich an um fortzufahren Zurück zur Startseite Kontaktiere uns , wenn Du glaubst, dass dies ein Fehler ist","0","Data Analyst (m/w/d)","at","1","",""
"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}","16.347928","https://www.adzuna.at/land/ad/5727781690?se=UB7oJl1p8RGdcKmg89akZw&utm_medium=api&utm_source=1f9ff16c&v=EAEDC70F0D9995D71F72EAF25A1D0ECC0AB2EAFC","Adzuna::API::Response::Job","2026-05-13T08:03:25Z","permanent","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVUI3b0psMXA4UkdkY0ttZzg5YWtadyIsImkiOiI1NzI3NzgxNjkwIn0.0REVj6Mi7jBHTetGXElRqm0LKMLoNuFxTCuwlxely-8","48.211237","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Josefstadt, Wien', 'area': ['Österreich', 'Wien', 'Josefstadt']}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ÖSW Österreichisches Siedlungswerk Gemeinnützige Wohnungs AG'}","5727781690","full_time","Zugriff verweigert Ben je in Nederland? Selecteer het juiste land om vacatures in jouw locatie te bekijken. United Kingdom Australia Österreich België Brasil Canada France Deutschland India Italia México Nederland New Zealand Polska Singapore South Africa España Schweiz United States Doorgaan Unsere Systeme haben verdächtiges Verhalten im Zusammenhang mit dieser Anfrage festgestellt. Wir haben ungewöhnliches Verhalten über Deine Verbindung festgestellt, was durch die Verwendung eines VPNs oder eines Internet-Gateways Deines Unternehmens verursacht werden kann. Melde Dich an um fortzufahren Zurück zur Startseite Kontaktiere uns , wenn Du glaubst, dass dies ein Fehler ist","0","Data Analyst (m/w/d)","at","1","",""
"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","","https://www.adzuna.at/land/ad/5723067215?se=UB7oJl1p8RGdcKmg89akZw&utm_medium=api&utm_source=1f9ff16c&v=D8FB8665FCA72C4F878A851A0217A7A842B7D30A","Adzuna::API::Response::Job","2026-05-08T16:50:44Z","permanent","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVUI3b0psMXA4UkdkY0ttZzg5YWtadyIsImkiOiI1NzIzMDY3MjE1In0.Md2t72pP0XTORxQxt9DNZyWjVHy_vaAj5AG8ZoR-Gd0","","{'display_name': 'Österreich', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Österreich']}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'SPAR Österreichische Warenhandels-AG'}","5723067215","full_time","Zugriff verweigert Ben je in Nederland? Selecteer het juiste land om vacatures in jouw locatie te bekijken. United Kingdom Australia Österreich België Brasil Canada France Deutschland India Italia México Nederland New Zealand Polska Singapore South Africa España Schweiz United States Doorgaan Unsere Systeme haben verdächtiges Verhalten im Zusammenhang mit dieser Anfrage festgestellt. Wir haben ungewöhnliches Verhalten über Deine Verbindung festgestellt, was durch die Verwendung eines VPNs oder eines Internet-Gateways Deines Unternehmens verursacht werden kann. Melde Dich an um fortzufahren Zurück zur Startseite Kontaktiere uns , wenn Du glaubst, dass dies ein Fehler ist","0","Data Analyst (m/w/d)","at","1","",""
"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","16.354031","https://www.adzuna.at/land/ad/5734927404?se=UB7oJl1p8RGdcKmg89akZw&utm_medium=api&utm_source=1f9ff16c&v=6048F53B72D3B064427498F5588CA799234982CE","Adzuna::API::Response::Job","2026-05-20T09:55:16Z","permanent","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNDkyNzQwNCIsInMiOiJVQjdvSmwxcDhSR2RjS21nODlha1p3In0.xZlAwZjF8v12EOqI6e-QKb03BfQHAuPXyPYNJqaeGy0","48.208144","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Wien, Österreich', 'area': ['Österreich', 'Wien']}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Kwizda Holding GmbH'}","5734927404","full_time","Zugriff verweigert Ben je in Nederland? Selecteer het juiste land om vacatures in jouw locatie te bekijken. United Kingdom Australia Österreich België Brasil Canada France Deutschland India Italia México Nederland New Zealand Polska Singapore South Africa España Schweiz United States Doorgaan Unsere Systeme haben verdächtiges Verhalten im Zusammenhang mit dieser Anfrage festgestellt. Wir haben ungewöhnliches Verhalten über Deine Verbindung festgestellt, was durch die Verwendung eines VPNs oder eines Internet-Gateways Deines Unternehmens verursacht werden kann. Melde Dich an um fortzufahren Zurück zur Startseite Kontaktiere uns , wenn Du glaubst, dass dies ein Fehler ist","0","Business Data Analyst (w/m/d)","at","1","",""
"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}","13.782255","https://www.adzuna.at/land/ad/5748996262?se=UB7oJl1p8RGdcKmg89akZw&utm_medium=api&utm_source=1f9ff16c&v=22AD3341FC0D2DC2AB489D3A8E2584F7C76FF391","Adzuna::API::Response::Job","2026-06-02T11:52:41Z","permanent","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVUI3b0psMXA4UkdkY0ttZzg5YWtadyIsImkiOiI1NzQ4OTk2MjYyIn0._3BKjUUIE4woSj_uuJ6wepJQZqaIjD3jQKaZ5Ompodw","48.22227","{'area': ['Österreich', 'Oberösterreich', 'Grieskirchen', 'St. Georgen bei Grieskirchen'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'St. Georgen bei Grieskirchen, Grieskirchen'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Gföllner Fahrzeugbau und Containertechnik GmbH'}","5748996262","part_time","Zugriff verweigert Ben je in Nederland? Selecteer het juiste land om vacatures in jouw locatie te bekijken. United Kingdom Australia Österreich België Brasil Canada France Deutschland India Italia México Nederland New Zealand Polska Singapore South Africa España Schweiz United States Doorgaan Unsere Systeme haben verdächtiges Verhalten im Zusammenhang mit dieser Anfrage festgestellt. Wir haben ungewöhnliches Verhalten über Deine Verbindung festgestellt, was durch die Verwendung eines VPNs oder eines Internet-Gateways Deines Unternehmens verursacht werden kann. Melde Dich an um fortzufahren Zurück zur Startseite Kontaktiere uns , wenn Du glaubst, dass dies ein Fehler ist","0","Werkstudent Data Analyst (m/w/d)","at","1","",""
"{'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","","https://www.adzuna.at/details/5758608143?utm_medium=api&utm_source=1f9ff16c","Adzuna::API::Response::Job","2026-06-10T17:18:19Z","","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1ODYwODE0MyIsInMiOiJVQjdvSmwxcDhSR2RjS21nODlha1p3In0.o9c7LqGzXMG7UxeOBmy0SndBLz2yOV1hnKIwIrkX5Z0","","{'display_name': 'Österreich', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Österreich']}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Hitapps'}","5758608143","","What are you working on? Genres: Casual, Puzzle, Word Games Platforms: iOS, Android Hitapps is a GameDev company specializing in Puzzle Games. We have several successful products in both categories with a combined total of over 150M+ downloads, and we are regularly featured in the top charts in the Games section. Our culture is built on transparency, we are results-oriented and respect the improvement. Currently, we are in search of a Data Analyst , whom we will entrust with analytics for our products. For which tasks (responsibilities)? Analysis and forecasting of key metrics for gaming projects; Studying user behavior within the project, identifying pain points, and formulating proposals to improve key project metrics based on collected data; Conducting A/B tests and analyzing their results; Work closely with the marketing and development teams. What kind of professional are we looking for? Relevant work experience of at least 3 years, preferably within the gaming industry.; Strong knowledge of mathematical statistics and A/B testing; Experience with databases, proficient in SQL; Experience with BI tools (Tableau/Looker Studio/Superset); Ability to present the results of analyses and research. Will be a plus: Experience with Python for data analysis and visualization; Understanding of ad monetization flow principles. Why do we enjoy working here? Competitive compensation; 100% recovering for vacations, sick leaves; 12 additional paid day offs per year; Budget for personal education, language courses & sports activities; Conference attendance: you can join top industry events; Zero bureaucracy and a supportive, transparent culture. Let’s create hits together!","0","Data Analyst","at","1","",""
"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}","16.354031","https://www.adzuna.at/details/4810831289?utm_medium=api&utm_source=1f9ff16c","Adzuna::API::Response::Job","2024-08-05T15:29:18Z","","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVUI3b0psMXA4UkdkY0ttZzg5YWtadyIsImkiOiI0ODEwODMxMjg5In0.tXIRgDq86SE_1n4mhNnrgEvzhXZe8kJhevci2jIAnko","48.208144","{'display_name': 'Wien, Österreich', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Österreich', 'Wien']}","{'display_name': 'b.telligent Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}","4810831289","part_time","Bei uns dreht sich alles um Daten, digitale Geschäftsprozesse und Cloud Technologien - mach mit in unserem Team, um den österreichischen Markt zu stärken! b.telligent - smart data. smart decisions. smart people. b.telligent ist ein auf Analytics und Data Management spezialisiertes technologieunabhängiges Beratungs- und Implementierungsunternehmen. Mit über 300 Mitarbeiter:innen an zehn Standorten in Deutschland, Österreich, Rumänien und der Schweiz unterstützt b.telligent Unternehmen in sämtlichen Projektphasen, angefangen bei der Strategie über die Analyse, Konzeption und Implementierung bis hin zu Betrieb und Weiterentwicklung der (Daten-/KI-)Lösung. Der Fokus liegt dabei auf der Optimierung von digitalen und datengetriebenen Geschäftsprozessen sowie Kunden- und Lieferantenbeziehungen. LOVE DATA? JOIN THE TEAM! Du entwickelst innovative Data & Analytics Lösungen, die den Anforderungen und Bedürfnissen unserer Kunden gerecht werden Du gehst den ganzen Weg mit unseren Kunden, von der Anforderungsanalyse über die Konzeption und Architektur bis zur Realisierung und Inbetriebnahme Du analysierst Daten und erstellst aussagekräftige Dashboards, Berichte und Visualisierungen Du baust State of the Art Datenplattformen in GCP, Azure und AWS und nutzt moderne Technologien (zum Beispiel Databricks, Snowflake, Fabric) Du arbeitest mit internen Teams und Kunden eng zusammen, um optimale Lösungen zu entwickeln und umzusetzen, teilst unser Wissen aber auch projektübergreifend mit deinen neuen Kolleg:innen Du bist wie wir begeistert von neuen Technologien und Methoden rund um BI und AI und nimmst dir die Zeit zum Evaluieren und Testen der neusten Frameworks und Tools Du hast Spaß an der Arbeit mit Daten und bist motiviert, diese zielführend einzusetzen Du bringst eine methodische und analytische Herangehensweise und Verständnis für die Bedürfnisse der Kunden mit Du kennst den Wert guter Visualisierungen und hast ein Auge für Design und Benutzerfreundlichkeit Du hast einen Hochschulabschluss in einem relevanten Bereich wie Informatik, Mathematik, Data Science oder ähnlichem Du hast mehrjährige Berufserfahrung in der Welt der Daten mit mindestens einer relevanten Frontend Technologie (z.B. Power BI), vorzugsweise auch im Kontext von Beratung Du besitzt fundierte Kenntnisse im Bereich relationaler Datenbanken, z.B. MS SQL Server, Exasol oder Snowflake inkl. der dazu gehörigen SQL Kenntnisse Du besitzt aktuelles Wissen und praktische Erfahrung in den Bereichen System- und Datenarchitektur, Datenmodellierung, Datenintegration, Datenqualitätsmanagement und Datenvisualisierung Du bist vertraut mit aktuellen Trends und hast Lust, Dich zu neuen Themen weiterzuentwickeln Dich zeichnen hohe Eigeninitiative, überzeugendes Auftreten, teamorientiertes Arbeiten und eine sehr gute Kommunikationsfähigkeit in Deutsch und Englisch aus Dir macht es Spaß, unsere Kunden auch hin und wieder außerhalb deines Wohnorts zu unterstützen und bringst eine grundsätzliche Reisebereitschaft mit","0","Senior Data Analyst:in","at","1","",""
"{'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","","https://www.adzuna.at/details/5758608162?utm_medium=api&utm_source=1f9ff16c","Adzuna::API::Response::Job","2026-06-10T17:18:19Z","","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVUI3b0psMXA4UkdkY0ttZzg5YWtadyIsImkiOiI1NzU4NjA4MTYyIn0.lqEZV7SRoKqVuJK3oQpxrWS3_EyBJ9aKnmtPNukbM08","","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Österreich', 'area': ['Österreich']}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': '8K Games'}","5758608162","","What are you working on? Genres: Action, Adventure, Puzzle, Casual Platforms: Mobile, iOS, Android We are looking for a Data Analyst with 2+ years of experience in the gaming industry who can support product teams with clear insights, timely reports, and structured analytical solutions. For which tasks (responsibilities)? Regular performance analysis: monitor product metrics, identify anomalies, and highlight actionable insights. Reporting & dashboards: build and maintain reports/dashboards in Tableau or Power BI for cross-team use. Feature analytics: design and implement analytics for new features within the existing data framework. Ad-hoc requests: deliver urgent custom analyses for product managers and stakeholders. What kind of professional are we looking for? SQL (strong proficiency). Tableau or Power BI. Firebase Analytics & BigQuery. Statistics and mathematical analysis. Python — nice to have. What are the conditions and bonuses? Influence on product decisions through data-driven insights. Collaboration with cross-functional teams in a dynamic gaming environment. Growth opportunities in analytics and product expertise.","0","Data Analyst (Gaming Industry)","at","1","",""
